,m1,m2,m3,m4,m5,m6,m7,p-p-t
26,0.002161994051072566,3.2666825025889334e-06,6.1806716193702104e-09,5.154798974945481e-09,2.909319327049247e-17,9.248377138823881e-12,4.1435792943042663e-19,papel
27,0.0021940768469750956,3.4073951131303725e-06,6.407731949353394e-09,5.3388591334821615e-09,3.122467332566557e-17,9.788124340066678e-12,3.4791649850387746e-19,papel
28,0.0021856361853933087,3.370724571194424e-06,6.332255394611807e-09,5.294906771516064e-09,3.065751665651438e-17,9.654770374469172e-12,3.5864397142487636e-19,papel
29,0.0021816174020360315,3.260852859954832e-06,6.351283875356097e-09,5.150928897197306e-09,2.9430251419233186e-17,9.24607784832908e-12,1.3628028289961459e-18,papel
30,0.002146548893607121,3.1540459864992513e-06,6.4428384552290495e-09,5.171285697339207e-09,2.983477498783165e-17,9.125791272219954e-12,9.360650211088525e-19,papel
31,0.00214988685500828,3.1736780348597612e-06,6.28182379767998e-09,5.127215507851626e-09,2.908818554171192e-17,9.067525846623554e-12,7.610719252691106e-19,papel
32,0.002163446952415194,3.2784670146733336e-06,6.102504516779892e-09,5.088646051592169e-09,2.835412995367881e-17,9.148467677993228e-12,3.9008115229351354e-19,papel
33,0.0021797284721583863,3.3584919999635385e-06,6.326504566705294e-09,5.270849539140292e-09,3.04353288830983e-17,9.595607987711903e-12,3.25544782127739e-19,papel
34,0.0020960927909599177,2.6826520087303594e-06,6.26650326510999e-09,4.0791437357077285e-09,2.021956355431912e-17,6.681099986338339e-12,4.062683891453597e-18,papel
35,0.002258043714321336,3.6166753329180053e-06,7.895541495936417e-09,6.5691746364596045e-09,4.730275537971827e-17,1.2446245055300769e-11,8.53794362706452e-19,papel
36,0.0021259427145711384,3.0756546512162356e-06,5.642622453323791e-09,4.525957071152087e-09,2.2866424874482562e-17,7.87546221311054e-12,5.097200057894879e-19,papel
37,0.002370671588626018,4.075514241855487e-06,9.48075347421157e-09,8.057538799703395e-09,7.041552601419467e-17,1.6234134509832916e-11,1.1369872497722748e-18,papel
38,0.0023358220015047837,3.933289248889156e-06,8.728398819973414e-09,7.3464771556830914e-09,5.881822906200897e-17,1.4533874926797897e-11,1.0862270499470552e-18,papel
39,0.002282528772244268,3.729846216298667e-06,7.710291258159399e-09,6.454138527155797e-09,4.552259669789749e-17,1.2417001796263679e-11,7.924255548311373e-19,papel
40,0.0022855278028811863,3.7544888201790356e-06,7.4424755473831115e-09,6.245248084225151e-09,4.257257314005264e-17,1.2052435726209129e-11,6.673402922471456e-19,papel
41,0.0021913851570087737,3.3845309967244035e-06,6.483537105528137e-09,5.415975575642413e-09,3.2090310278775223e-17,9.903999683944613e-12,4.72789742701802e-19,papel
42,0.0022098452871548305,3.4710233855687004e-06,6.4460258858536625e-09,5.3835040497186555e-09,3.171145349953659e-17,9.965534033671464e-12,3.564897870967106e-19,papel
43,0.002210583776768326,3.470429382293939e-06,6.378984973562716e-09,5.333058224520002e-09,3.110356526562946e-17,9.870232902050349e-12,3.6623640659088345e-19,papel
44,0.0022020863941856128,3.446549978595949e-06,6.3135638792303884e-09,5.267469300865806e-09,3.037486251578035e-17,9.715176710023231e-12,3.323071044025875e-19,papel
45,0.0020793308392599037,2.842706368893321e-06,5.664903499929012e-09,4.3849252395928985e-09,2.184038842739843e-17,7.33247961420035e-12,7.83380587548849e-19,papel
46,0.0022042201463003176,3.4390827106140544e-06,6.195191932535712e-09,5.179837937295189e-09,2.933984382068763e-17,9.54016496047802e-12,4.1692138644634847e-19,papel
47,0.002223535075606529,3.528632319850079e-06,6.453808519406808e-09,5.397797819781725e-09,3.1857079452528544e-17,1.0077864830457429e-11,3.5523983683509336e-19,papel
48,0.0020946787541185515,2.9451562817216025e-06,5.6324336206773205e-09,4.440227168995774e-09,2.21990068113259e-17,7.55836172560074e-12,5.268631380947663e-19,papel
49,0.0022011916572501323,3.4365017728340404e-06,6.4306150466143964e-09,5.354387558978093e-09,3.1417021704657506e-17,9.859941362386363e-12,3.43444610600405e-19,papel
50,0.00220088765142779,3.4314528757439587e-06,6.334011145182328e-09,5.272583618911325e-09,3.046755221559595e-17,9.702494640252951e-12,3.980527922387365e-19,papel
51,0.002197636850658983,3.4274813638564634e-06,6.331221867533974e-09,5.285625036213152e-09,3.0574667913246456e-17,9.722149552115257e-12,3.3805131377726493e-19,papel
52,0.0021927321404485124,3.388271139899397e-06,6.360526323898371e-09,5.28186349795939e-09,3.061162129902661e-17,9.652243369132222e-12,4.2042062424521326e-19,papel
53,0.0022228345569861394,3.5067014657640156e-06,6.761424593156668e-09,5.65513409127604e-09,3.496470071915562e-17,1.0536892367653245e-11,5.496218163273174e-19,papel
54,0.0023031768643823544,3.844013146195138e-06,7.723818251817904e-09,6.521830157296031e-09,4.628300414803288e-17,1.2749401188153235e-11,6.932266531848952e-19,papel
55,0.0023512408457297507,4.008761965191372e-06,8.575977429401112e-09,7.196128197996908e-09,5.652001541447399e-17,1.4377523619918075e-11,1.1371436964676568e-18,papel
56,0.0020785174390421917,2.8520282443190493e-06,5.533078613781441e-09,4.32804442598509e-09,2.11686021090462e-17,7.247073315893921e-12,6.873258274401735e-19,papel
57,0.0025089330779585273,4.710159004607602e-06,1.0611939869088198e-08,9.11215202337089e-09,8.959212580646337e-17,1.9761978598764635e-11,1.4766876883992218e-18,papel
58,0.002527441159201566,4.7764534966730835e-06,1.074781803392677e-08,9.428412886848336e-09,9.489396637503931e-17,2.0584625637154998e-11,1.815207859782447e-18,papel
59,0.0025799024192336576,5.0803016780111205e-06,1.1263564817493673e-08,9.818173994350199e-09,1.0324271772814246e-16,2.2109817763279536e-11,1.098673670979597e-18,papel
60,0.0026007917682771943,5.1636811105481265e-06,1.1362863670611616e-08,1.014332637966759e-08,1.0888631565152867e-16,2.301978916176015e-11,1.4998185744108916e-18,papel
61,0.002732928713687381,5.8578842365059474e-06,1.3006201060867244e-08,1.1631636544634098e-08,1.4306460116083063e-16,2.809987817397623e-11,6.350165526592501e-19,papel
62,0.0027923544409553494,6.1525302677264355e-06,1.4340843518149088e-08,1.2873165380965574e-08,1.7490759385121182e-16,3.190358840616036e-11,9.720071377202909e-19,papel
63,0.002674841192961733,5.5243898740264515e-06,1.3093708172845951e-08,1.1509416760008925e-08,1.412795992350966e-16,2.7046242514407482e-11,1.711058988646794e-18,papel
64,0.0026602300621589125,5.46879600211062e-06,1.2849204108757294e-08,1.128124858127116e-08,1.3581398417020745e-16,2.6372089264876104e-11,1.5797610018344903e-18,papel
65,0.002710170526114418,5.702147627387527e-06,1.3629910039651246e-08,1.208108957120457e-08,1.5501599578914927e-16,2.8844290764358906e-11,1.7956998431138735e-18,papel
66,0.0026990811945855637,5.641205343466141e-06,1.3756101801773474e-08,1.2218136237228269e-08,1.5839010304761866e-16,2.9011896026691313e-11,1.769307673883621e-18,papel
67,0.0021096447779936217,2.950045857152729e-06,5.676157672746559e-09,4.393594387645766e-09,2.1924396134128897e-17,7.487975696493771e-12,8.543980506200211e-19,papel
68,0.002527631878644311,4.846167211431655e-06,1.0522887871615286e-08,9.12521080586888e-09,8.941144541428859e-17,2.00768575771137e-11,1.1939162926882538e-18,papel
69,0.0022497762035498725,3.626208997805852e-06,6.717038537027551e-09,5.582370814606995e-09,3.4181072057890103e-17,1.056286312320406e-11,4.1014343309183806e-19,papel
70,0.0022411949880946254,3.573745244525809e-06,6.430365756310038e-09,5.366633260581483e-09,3.1522250334841275e-17,1.0077021196950576e-11,4.948218690585344e-19,papel
71,0.002228479498283995,3.533136657856504e-06,6.470762838986819e-09,5.391814982205647e-09,3.1845218381724656e-17,1.0066593870294116e-11,4.099449619161228e-19,papel
72,0.002263865665549764,3.6780128316405948e-06,6.5333139260152336e-09,5.509111568154352e-09,3.30481902788187e-17,1.04931879092852e-11,4.565205266835458e-19,papel
73,0.002265621783539366,3.6816921059656712e-06,6.63979747214477e-09,5.531406975412894e-09,3.351839064815254e-17,1.05446141918363e-11,4.966920256340019e-19,papel
74,0.0022596335706203193,3.663576709669831e-06,6.524685639266654e-09,5.419452518259445e-09,3.2223862584873604e-17,1.031764852880017e-11,4.1100264548282043e-19,papel
75,0.0022431548735078874,3.5518970025473884e-06,6.26900722121915e-09,5.206314206066018e-09,2.9736616868860686e-17,9.74566030564347e-12,6.489401638541894e-19,papel
76,0.0022308519448063983,3.507792343839134e-06,6.426953189538718e-09,5.297482135769928e-09,3.0904703712558706e-17,9.8539242647411e-12,6.014753157806669e-19,papel
77,0.002229350688520389,3.51160618377426e-06,6.42176813129576e-09,5.260949368244887e-09,3.057453000854051e-17,9.796490532134624e-12,5.237172023575447e-19,papel
78,0.0021057455382065167,2.9352156377502892e-06,5.927400952199971e-09,4.624750150931301e-09,2.4200039260628496e-17,7.857554095245658e-12,8.188834246106424e-19,papel
79,0.002223498431478021,3.4784134849961114e-06,6.433375189979006e-09,5.304674935241132e-09,3.098363699025657e-17,9.822420296966195e-12,5.766672288540091e-19,papel
80,0.0022915282583969667,3.536306074830961e-06,8.002579252127644e-09,5.445008779490994e-09,3.5416500619978037e-17,1.0237979539372146e-11,6.128791040430768e-18,papel
81,0.0024535530587193734,4.2191845697607334e-06,9.892656321403946e-09,6.999503442074308e-09,5.729635218895495e-17,1.4359236796561664e-11,1.0468385290900244e-17,papel
82,0.0025654293342075576,4.720480479791153e-06,1.1158796553026773e-08,8.023657223118157e-09,7.463843004303686e-17,1.7390827014468232e-11,1.3901221771446732e-17,papel
83,0.002592270411540117,4.840220845583272e-06,1.124604678492068e-08,8.11628187003917e-09,7.62523039824616e-17,1.780270947324714e-11,1.408225364335666e-17,papel
84,0.00260443357844829,4.900883824548783e-06,1.1506771917824295e-08,8.335351116509154e-09,8.02765029514494e-17,1.839544316404233e-11,1.481664235389742e-17,papel
85,0.0025678643631238773,4.723978400719189e-06,1.0996932376514743e-08,7.913876662265034e-09,7.260143596534775e-17,1.714984083658431e-11,1.3400361418514161e-17,papel
86,0.0026036592704428243,4.879890120729752e-06,1.183351545869287e-08,8.551524326288366e-09,8.463910163567703e-17,1.8815753929539002e-11,1.5376551933893928e-17,papel
87,0.0031304322677853016,7.321409695961699e-06,1.7203238743382705e-08,1.2229751089958627e-08,1.7288623579205572e-16,3.2986500160402634e-11,3.9722910047573324e-17,papel
88,0.00387549775941673,1.1504865322997166e-05,2.332400658109614e-08,1.4719461864227179e-08,2.559707334581288e-16,4.96118415597696e-11,9.414289702290169e-17,papel
89,0.0021057658024445005,2.956321155731432e-06,5.607762633456191e-09,4.339125250095152e-09,2.139154793933347e-17,7.403779561663409e-12,7.345306589616631e-19,papel
90,0.004169350033941449,1.3344981285785877e-05,2.6144862847451483e-08,1.5327806887694656e-08,2.798347184826244e-16,5.544077995195203e-11,1.2587237041587542e-16,papel
91,0.0021371654723081807,2.8908869147955116e-06,6.803543804957231e-09,4.465644274749793e-09,2.4293065045191844e-17,7.592389900297523e-12,3.965892976353837e-18,papel
92,0.002087956674088524,2.6891211026023623e-06,6.5778997274011516e-09,4.324639938153016e-09,2.2737797438231587e-17,7.0910551650326036e-12,3.876052352456433e-18,papel
93,0.002155619812011719,2.973220701506823e-06,6.849421529248268e-09,4.52803320170608e-09,2.4898809053735272e-17,7.807394478430663e-12,3.992535921573993e-18,papel
94,0.0021518604284452665,2.9847782909380212e-06,6.665131548516938e-09,4.447891389245673e-09,2.3910409038278417e-17,7.68219680355112e-12,3.846648219301191e-18,papel
95,0.002126090468147135,2.827861715228602e-06,6.63760548929394e-09,4.304650314410809e-09,2.269865518571843e-17,7.23557025166303e-12,3.771099918718915e-18,papel
96,0.0021388218575464587,2.9186076451183178e-06,6.636521960901405e-09,4.3976043357322415e-09,2.3452434573232336e-17,7.51221271259647e-12,3.79287425527363e-18,papel
97,0.002127416388680427,2.8877551142597945e-06,6.4323336407573806e-09,4.220509244242029e-09,2.1717217074934048e-17,7.169935370695535e-12,3.454951792518631e-18,papel
98,0.002142457431411458,2.9317081652027866e-06,6.6238068438186645e-09,4.40287413837794e-09,2.348752064722926e-17,7.536690370439e-12,3.699347272730573e-18,papel
99,0.0021223707733042355,2.8532002879788956e-06,6.361870970518771e-09,4.162622624957123e-09,2.1153197888256352e-17,7.030560245543138e-12,3.3776209043852637e-18,papel
100,0.0020881239777447765,2.89602999810749e-06,5.525722441336128e-09,4.335436459613877e-09,2.1210787518598952e-17,7.308736308729504e-12,6.225418556440186e-19,papel
101,0.00211953046798706,3.0189055927998007e-06,6.170099766189284e-09,4.867114912321972e-09,2.6664266901584628e-17,8.39753265866367e-12,6.368751712221038e-19,papel
102,0.002085135753349701,2.896738105789731e-06,5.819551532698954e-09,4.551106580865877e-09,2.3415090810676767e-17,7.676568771398278e-12,5.605695887992835e-19,papel
103,0.0020987210546074037,2.9580440470561745e-06,5.795836581637059e-09,4.559680714333796e-09,2.343364292986772e-17,7.776283690819243e-12,5.507378048973089e-19,papel
104,0.002096611904884551,2.7391216739839113e-06,6.402995050428031e-09,4.200896508185983e-09,2.150488811428008e-17,6.951507588573752e-12,3.4969598217882205e-18,papel
105,0.0021362030139156327,2.8970888458323313e-06,6.7277109842184374e-09,4.4380764832859465e-09,2.3932632409366817e-17,7.551200422198358e-12,3.915325638850056e-18,papel
106,0.0021351531256670812,2.840168072732757e-06,6.999504840026677e-09,4.507669110038152e-09,2.493166587175519e-17,7.59039135306618e-12,4.4168466762054074e-18,papel
107,0.0021271116312987447,2.7984658024831334e-06,7.2471078003672135e-09,4.577394878059684e-09,2.5951188978049583e-17,7.644829042707711e-12,4.646707548067149e-18,papel
108,0.002141204379907227,2.876855547468108e-06,7.322220022319436e-09,4.62746126165388e-09,2.6529897374146502e-17,7.836740621638568e-12,4.660568610460443e-18,papel
109,0.0021137385530218033,2.7267483994414147e-06,7.642596257679115e-09,4.696992164253082e-09,2.7715467154096514e-17,7.736077950782715e-12,4.879316881579849e-18,papel
110,0.002216736260991108,3.1383561228881816e-06,8.093555653381585e-09,5.008508763642768e-09,3.134735008486758e-17,8.849022747162751e-12,5.849090118024946e-18,papel
111,0.002105655283466769,2.701553208302536e-06,8.605186165975662e-09,5.506846180057653e-09,3.7210260600148565e-17,9.030240999440884e-12,7.241362815616415e-18,papel
112,0.002090490705507511,2.905513082864972e-06,5.648903579581487e-09,4.444700569477977e-09,2.2263486126455543e-17,7.507851249609104e-12,5.904402920381869e-19,papel
113,0.0022663387444675468,3.3385972080330365e-06,7.784856596838205e-09,4.927535637743238e-09,2.999447800893214e-17,8.982232360067175e-12,5.63375853089082e-18,papel
114,0.0022721681257195305,3.389079063687802e-06,7.285278813688863e-09,4.629311972810608e-09,2.638854303181612e-17,8.507483448931765e-12,5.1387890166152795e-18,papel
115,0.0022000891066068506,3.0966896314702233e-06,7.415823265737484e-09,4.81302433673597e-09,2.831448258765021e-17,8.455964727121006e-12,5.011483840430698e-18,papel
116,0.002168455128858895,2.9521115922810707e-06,7.163940195397704e-09,4.575133586473952e-09,2.579755259640856e-17,7.846870834294917e-12,4.533007917192256e-18,papel
117,0.00213778030708544,2.8625125307329377e-06,6.600764987415108e-09,4.315397643355261e-09,2.2666056392192657e-17,7.295359272428446e-12,4.088383904266495e-18,papel
118,0.002116352756022863,2.8295291769084675e-06,6.469522788929928e-09,4.2828501508345686e-09,2.2235341656949092e-17,7.202863428687245e-12,3.719135977531323e-18,papel
119,0.002132087225412857,2.8562082815728955e-06,6.62179802481335e-09,4.299125994285771e-09,2.2615877186623244e-17,7.264466157636948e-12,3.8315046462057955e-18,papel
120,0.002121692954731219,2.8191901102964996e-06,6.662807120411033e-09,4.380397244463981e-09,2.334907072088968e-17,7.35274245375507e-12,3.8514167905217294e-18,papel
121,0.0021136425590515136,2.995381973267342e-06,5.820764525463974e-09,4.583463258521751e-09,2.3665195559068574e-17,7.865796792199386e-12,6.633504732487554e-19,papel
122,0.002087529212770744,2.889631908773355e-06,5.654896120885018e-09,4.401012553926012e-09,2.194480048890109e-17,7.416625443753806e-12,6.819374845055535e-19,papel
